InputSize,ProgramSize,BSS,RoData,Text,InputType,STSclass
4648,25379,85,3722,32369,Reverse Sorted,Medium burst
3208,12466,338,589,33778,Reverse Sorted,Medium burst
7258,18232,425,1165,14095,Sorted,Short burst
7500,5789,212,933,6221,Constant,Very short burst
3270,20512,238,4373,27634,Reverse Sorted,Medium burst
9974,19312,161,2469,49239,Reverse Sorted,Long burst
2355,36301,784,1449,4677,Constant,Short burst
1254,42128,81,1626,44779,Constant,Very long burst
4599,41081,234,2134,48873,Constant,Very long burst
6395,47128,482,4836,26548,Reverse Sorted,Long burst
6297,23592,906,1585,8334,Random,Short burst
9988,25605,652,4803,45752,Sorted,Very long burst
1748,14794,369,139,38932,Reverse Sorted,Medium burst
5639,4121,549,4240,10033,Constant,Very short burst
9737,32942,820,1704,48657,Constant,Very long burst
4299,22199,618,1951,1284,Constant,Short burst
8545,2847,55,2729,40311,Constant,Medium burst
2657,29986,10,2220,39338,Random,Long burst
5692,48150,687,415,23115,Sorted,Long burst
198,17610,254,4010,19819,Random,Short burst
2300,5423,228,2422,41291,Random,Medium burst
3061,16111,623,568,44791,Sorted,Long burst
5073,48635,300,3760,13712,Reverse Sorted,Medium burst
4533,19699,467,879,34797,Reverse Sorted,Medium burst
2969,9566,213,2683,33297,Random,Medium burst
1056,36547,211,320,31591,Sorted,Long burst
8452,27254,575,3036,23968,Constant,Medium burst
5799,37075,491,3588,25475,Sorted,Long burst
7044,24760,801,4614,20350,Reverse Sorted,Medium burst
4593,47233,520,4864,32484,Random,Long burst
9592,49391,933,1057,8755,Constant,Medium burst
5011,17491,287,2367,34321,Reverse Sorted,Medium burst
4087,23053,25,654,17651,Constant,Short burst
9819,24674,534,4523,15203,Sorted,Medium burst
6115,22457,365,226,24519,Sorted,Medium burst
1318,1134,365,2371,2240,Reverse Sorted,Very short burst
4596,30381,839,1764,5159,Reverse Sorted,Short burst
4835,13271,948,686,19873,Constant,Short burst
4655,18798,608,2673,11780,Constant,Short burst
9246,14840,87,4205,9661,Sorted,Short burst
8150,33856,937,2828,37055,Random,Long burst
3546,36499,76,3802,29512,Constant,Long burst
1145,6851,868,710,19403,Sorted,Short burst
6993,4338,732,4415,43983,Random,Medium burst
1793,2473,223,3237,43549,Reverse Sorted,Medium burst
3536,47614,706,4390,30549,Reverse Sorted,Long burst
8854,38312,458,4805,49719,Constant,Very long burst
5995,10747,974,134,6313,Random,Very short burst
3454,44940,442,3720,48815,Sorted,Very long burst
325,32155,554,956,11252,Constant,Short burst
4993,43539,124,3571,5317,Sorted,Medium burst
7122,7183,796,1925,43379,Random,Medium burst
9251,11744,429,4008,26456,Constant,Medium burst
5700,29558,508,2186,34606,Random,Long burst
8096,40051,719,2646,9461,Random,Medium burst
9107,38862,389,903,28945,Random,Long burst
7783,28871,152,556,47690,Sorted,Very long burst
4742,4322,749,457,5827,Reverse Sorted,Very short burst
7779,29378,641,573,24371,Constant,Medium burst
8308,36657,874,3100,13903,Sorted,Medium burst
7439,6414,33,2447,20887,Random,Short burst
9535,18664,548,2949,29536,Sorted,Medium burst
2305,27680,954,377,31103,Random,Medium burst
1169,4188,84,1885,15400,Random,Very short burst
3544,15183,762,1359,35843,Random,Medium burst
1160,13580,544,4768,15190,Random,Short burst
2427,31453,682,2585,19668,Sorted,Medium burst
3520,10416,50,2091,32869,Random,Medium burst
401,30177,759,2584,48852,Sorted,Long burst
706,27860,760,2242,46301,Sorted,Long burst
3270,38305,577,805,48491,Reverse Sorted,Very long burst
799,13953,422,195,49032,Sorted,Long burst
5188,23203,424,3872,48369,Reverse Sorted,Long burst
9431,9140,458,3624,9995,Reverse Sorted,Short burst
290,29763,619,1677,48331,Reverse Sorted,Long burst
1080,33349,667,4973,29911,Sorted,Medium burst
3075,39546,987,1908,45702,Reverse Sorted,Very long burst
6202,16578,783,4772,46443,Constant,Long burst
1284,23883,445,3648,7521,Random,Short burst
3427,16036,561,679,40123,Sorted,Medium burst
3494,7910,714,3216,32514,Random,Medium burst
8419,16426,248,3568,38539,Sorted,Long burst
1916,48768,51,4402,36464,Reverse Sorted,Long burst
5954,34748,743,3964,46226,Constant,Very long burst
6809,31659,717,954,47231,Reverse Sorted,Very long burst
669,42539,809,2667,6796,Sorted,Short burst
5542,36866,19,2839,34576,Reverse Sorted,Long burst
1995,48300,756,157,44111,Constant,Very long burst
2833,41261,846,1092,4293,Random,Short burst
3963,29590,274,1438,43265,Random,Long burst
7555,21067,590,1726,4459,Reverse Sorted,Short burst
4114,44163,454,4305,19803,Sorted,Medium burst
1786,15867,148,4245,5224,Sorted,Very short burst
3109,40912,876,314,8571,Random,Medium burst
7906,45216,740,3871,23747,Constant,Long burst
254,35867,205,2847,26772,Reverse Sorted,Medium burst
1509,6313,83,3170,15171,Reverse Sorted,Short burst
884,37121,624,726,49091,Random,Very long burst
8196,34769,234,4944,40519,Sorted,Long burst
7660,41690,644,3536,10717,Reverse Sorted,Medium burst
7443,40818,111,2756,16411,Sorted,Medium burst
7306,37518,273,4019,7237,Sorted,Medium burst
5696,40259,954,657,43559,Random,Very long burst
5901,16998,929,3475,10236,Sorted,Short burst
2906,26489,170,2444,44113,Constant,Long burst
637,37674,242,2909,47927,Constant,Very long burst
6086,26068,500,4946,39087,Random,Long burst
1941,1541,796,1210,19251,Reverse Sorted,Short burst
8816,40195,779,1897,35143,Sorted,Long burst
7071,49663,320,4107,41898,Constant,Very long burst
5725,30599,660,1541,22785,Random,Medium burst
3050,24864,236,2071,26187,Random,Medium burst
8092,41139,282,4648,40760,Sorted,Very long burst
4880,39643,947,3065,14850,Random,Medium burst
2468,23982,326,4616,20700,Reverse Sorted,Medium burst
6755,4176,908,2787,47003,Sorted,Long burst
8273,46285,95,2098,18982,Reverse Sorted,Long burst
4595,22281,300,4255,5949,Constant,Short burst
9263,30548,478,4004,31581,Constant,Long burst
6102,3565,738,943,7572,Constant,Very short burst
6714,2536,880,1137,27553,Constant,Short burst
9458,36314,587,4901,30733,Random,Long burst
6019,17424,778,4198,47498,Reverse Sorted,Long burst
953,33344,656,2359,13589,Random,Short burst
4246,49148,413,3650,37934,Random,Very long burst
3869,16907,436,2983,11114,Constant,Short burst
674,22018,384,2331,1645,Reverse Sorted,Very short burst
1248,17559,911,122,6884,Sorted,Very short burst
6393,23552,576,1430,24052,Sorted,Medium burst
6557,4767,877,533,13461,Sorted,Short burst
7609,6488,764,1079,27574,Reverse Sorted,Medium burst
4877,28474,261,3831,17473,Constant,Medium burst
3954,24536,542,3829,48471,Constant,Long burst
2591,9180,316,1881,48904,Reverse Sorted,Long burst
3224,1985,439,2070,45238,Constant,Medium burst
5791,15213,684,828,16421,Reverse Sorted,Short burst
3151,20543,877,3525,34318,Reverse Sorted,Medium burst
104,2919,273,4773,6224,Sorted,Very short burst
5322,48580,77,3327,47318,Sorted,Very long burst
5415,36763,116,459,39349,Random,Long burst
4969,17640,409,1109,10435,Reverse Sorted,Short burst
976,43984,588,2359,4479,Sorted,Short burst
9283,45710,208,1650,10137,Sorted,Medium burst
7127,13461,201,4593,27528,Sorted,Medium burst
4242,43575,523,2283,39859,Constant,Long burst
7066,6987,778,1702,36401,Sorted,Medium burst
7179,31610,451,1347,40558,Constant,Long burst
8087,42932,10,401,4501,Sorted,Medium burst
6899,16860,367,3272,1889,Constant,Short burst
4565,49910,124,2481,9765,Constant,Medium burst
735,37343,912,514,15197,Sorted,Medium burst
1793,25382,609,2563,37928,Reverse Sorted,Long burst
9974,18002,206,3216,43924,Random,Long burst
4852,48553,990,2259,37819,Random,Very long burst
8411,8131,613,605,49995,Reverse Sorted,Long burst
930,3517,283,349,7197,Sorted,Very short burst
5277,21225,865,3916,14532,Reverse Sorted,Short burst
9661,25262,169,405,3283,Sorted,Short burst
9032,1284,182,613,38752,Sorted,Medium burst
8408,28520,554,4059,17995,Sorted,Medium burst
6049,38959,467,4938,32723,Sorted,Long burst
2938,16265,594,1072,47182,Sorted,Long burst
1250,31627,442,1240,40605,Reverse Sorted,Long burst
7660,3696,938,3260,24490,Reverse Sorted,Short burst
2031,10052,490,1954,47500,Random,Long burst
9304,41800,464,2086,41043,Sorted,Very long burst
1764,32421,205,1076,9715,Reverse Sorted,Short burst
1181,5246,805,305,37345,Reverse Sorted,Medium burst
612,3499,608,2468,15739,Sorted,Very short burst
7905,44570,318,2613,23870,Sorted,Long burst
5337,49720,745,3001,33341,Reverse Sorted,Long burst
659,16095,565,319,30471,Sorted,Medium burst
3772,22563,857,977,12590,Constant,Short burst
7504,6700,503,113,19645,Reverse Sorted,Short burst
3443,38664,448,4605,2023,Random,Short burst
4170,23877,659,1092,27155,Sorted,Medium burst
9762,13910,791,4238,25897,Constant,Medium burst
680,46471,368,4918,16437,Random,Medium burst
7104,4098,45,859,12318,Random,Short burst
8230,11064,43,2091,44791,Random,Long burst
3247,46016,97,3138,32575,Sorted,Long burst
4349,31398,667,1696,49198,Random,Very long burst
1779,21098,25,4985,41003,Reverse Sorted,Long burst
3606,40904,754,537,11619,Reverse Sorted,Medium burst
7353,18362,430,3131,21141,Sorted,Medium burst
2844,10765,562,1797,41836,Sorted,Medium burst
9535,10205,776,798,2284,Random,Very short burst
5288,26044,802,3887,29094,Sorted,Medium burst
2241,14798,135,577,15466,Reverse Sorted,Short burst
6717,33170,17,1217,39121,Reverse Sorted,Long burst
2579,42971,481,4699,1903,Reverse Sorted,Short burst
6584,46604,477,4660,43137,Sorted,Very long burst
9927,41434,889,3591,42289,Reverse Sorted,Very long burst
7521,49384,871,4522,43849,Sorted,Very long burst
4552,6550,861,3789,17365,Constant,Short burst
5981,44452,519,533,23394,Random,Long burst
6765,21534,411,501,16971,Constant,Short burst
2949,45980,845,4119,43827,Reverse Sorted,Very long burst
7490,8984,185,4447,44475,Random,Long burst
7005,31823,749,3183,32359,Reverse Sorted,Long burst
2589,21296,975,1823,34180,Reverse Sorted,Medium burst
9923,29569,844,1048,7639,Constant,Short burst
9307,22327,923,2115,31212,Reverse Sorted,Medium burst
9640,35861,376,447,37601,Random,Long burst
4711,10815,497,1853,19970,Reverse Sorted,Short burst
2939,48468,27,2201,32356,Random,Long burst
8627,27019,65,1996,22955,Constant,Medium burst
5978,9607,928,3767,27140,Sorted,Medium burst
9187,4369,44,3465,46570,Reverse Sorted,Long burst
6403,15947,911,1444,40325,Constant,Long burst
951,27870,639,4178,11467,Reverse Sorted,Short burst
1787,8471,803,2471,13032,Random,Short burst
6933,31769,775,3969,16126,Reverse Sorted,Medium burst
2527,26151,734,3133,3882,Sorted,Short burst
9860,36257,582,2838,45703,Reverse Sorted,Very long burst
4100,23946,609,1894,36287,Sorted,Long burst
5152,38608,792,1854,13805,Sorted,Medium burst
2838,10143,356,939,5400,Reverse Sorted,Very short burst
5832,4323,41,2553,42614,Constant,Medium burst
5487,13954,917,1943,27553,Reverse Sorted,Medium burst
8102,4432,142,1716,17564,Sorted,Short burst
5636,10720,585,4394,21509,Constant,Short burst
4013,9054,208,3115,36787,Sorted,Medium burst
1166,2929,265,3691,1764,Sorted,Very short burst
7823,28708,351,3125,21519,Reverse Sorted,Medium burst
4480,7944,676,1309,11558,Random,Short burst
4207,11010,984,2270,17175,Reverse Sorted,Short burst
5826,44545,240,2468,27947,Random,Long burst
3473,11037,310,2888,15214,Random,Short burst
9045,7647,556,2846,22422,Reverse Sorted,Short burst
2182,40899,35,836,7799,Random,Short burst
9067,4098,544,3417,33021,Sorted,Medium burst
6848,37597,662,4985,15509,Constant,Medium burst
9917,7218,483,2497,10974,Reverse Sorted,Short burst
517,43191,396,3179,30356,Random,Long burst
8406,14282,294,1948,19840,Sorted,Medium burst
8908,49744,459,4553,39449,Constant,Very long burst
4074,551,329,3634,7997,Random,Very short burst
3367,17202,165,4209,10374,Random,Short burst
925,10684,480,3999,37900,Sorted,Medium burst
7768,12968,429,2517,3453,Constant,Short burst
5845,22572,122,2243,1538,Constant,Short burst
9808,15979,911,66,11615,Sorted,Short burst
512,28967,660,3072,31593,Constant,Medium burst
7643,23902,431,1316,3303,Reverse Sorted,Short burst
7687,7710,895,528,19556,Constant,Short burst
828,46202,939,4346,35103,Random,Long burst
7264,37224,730,4027,36027,Constant,Long burst
8967,6557,844,3594,7615,Reverse Sorted,Short burst
6088,31416,885,4324,32468,Reverse Sorted,Long burst
2604,27768,951,4598,9691,Random,Short burst
3067,44478,607,535,34578,Random,Long burst
2886,47858,294,4138,24732,Reverse Sorted,Long burst
1222,23759,581,4723,24940,Sorted,Medium burst
4179,14364,63,387,37481,Reverse Sorted,Medium burst
1671,34793,614,910,4704,Constant,Short burst
5173,46545,334,2053,34978,Random,Long burst
5204,7543,979,1521,15211,Sorted,Short burst
2243,41973,467,2092,49866,Reverse Sorted,Very long burst
9979,39393,894,3478,37513,Random,Very long burst
6906,41142,274,3170,11178,Constant,Medium burst
7457,13029,391,1569,25175,Sorted,Medium burst
3540,31368,222,751,18875,Sorted,Medium burst
3866,26809,342,4438,16816,Sorted,Medium burst
5744,23784,19,4085,33441,Constant,Medium burst
3014,48223,367,3794,29846,Random,Long burst
5068,35768,212,1223,16620,Reverse Sorted,Medium burst
6017,3964,717,1655,23844,Random,Short burst
8887,19143,67,1929,32589,Constant,Medium burst
828,29765,503,3443,46986,Random,Long burst
1465,16454,519,2174,7110,Sorted,Short burst
4592,24380,777,4692,29940,Reverse Sorted,Medium burst
798,19543,232,1496,35585,Constant,Medium burst
7286,755,378,3356,7613,Sorted,Very short burst
495,2002,701,3451,38087,Random,Medium burst
7500,5156,427,3833,8231,Sorted,Short burst
8182,10802,883,2422,12214,Random,Short burst
4271,5930,556,200,3877,Random,Very short burst
4460,41866,880,1709,33207,Constant,Long burst
2602,27925,112,928,37855,Random,Long burst
817,49244,170,2369,2147,Sorted,Short burst
2882,2360,209,2933,49709,Constant,Medium burst
5046,6658,169,4045,8609,Reverse Sorted,Very short burst
5586,6306,704,2465,10737,Constant,Short burst
8435,21238,874,1565,37751,Sorted,Long burst
5080,17606,145,3437,46323,Random,Long burst
7366,9974,951,639,41902,Constant,Medium burst
4591,17497,407,637,6606,Constant,Short burst
7292,33099,747,2669,45686,Constant,Very long burst
5688,6290,401,1245,49581,Sorted,Long burst
7751,10670,764,4403,45861,Random,Long burst
3736,9504,115,2376,2095,Reverse Sorted,Very short burst
1267,43246,592,2655,21211,Reverse Sorted,Medium burst
1162,49982,598,2588,21669,Random,Long burst
2256,26292,63,615,18379,Reverse Sorted,Short burst
7960,30716,286,1806,23065,Random,Medium burst
5261,7732,120,4125,49844,Constant,Long burst
5405,13174,233,1410,38429,Constant,Medium burst
6641,16552,84,2618,17181,Sorted,Short burst
4829,49042,515,2423,20167,Constant,Long burst
9448,6413,23,1245,11087,Sorted,Short burst
7430,47370,980,2181,6682,Reverse Sorted,Medium burst
5434,48657,779,2938,39729,Reverse Sorted,Very long burst
9024,28413,491,1617,22152,Constant,Medium burst
4430,11067,198,3460,38972,Random,Medium burst
8110,38879,373,2417,8552,Reverse Sorted,Medium burst
6901,9932,248,3393,17468,Reverse Sorted,Short burst
4946,819,410,3147,25531,Reverse Sorted,Short burst
6831,24969,855,1310,8084,Random,Short burst
7341,45954,994,1383,44848,Constant,Very long burst
1053,26990,313,4378,46647,Sorted,Long burst
2639,21084,100,4694,20163,Random,Medium burst
7156,5291,401,3386,7055,Random,Very short burst
1642,32236,193,3134,3669,Reverse Sorted,Short burst
5393,829,26,3437,13028,Sorted,Very short burst
1291,9351,974,4763,2008,Random,Very short burst
6413,44578,21,2481,16523,Reverse Sorted,Medium burst
7038,23626,175,1066,46307,Random,Long burst
2781,21800,155,691,3199,Reverse Sorted,Short burst
9509,10664,291,4112,43319,Sorted,Long burst
1640,25009,1000,365,37207,Sorted,Medium burst
6272,6203,558,2353,39650,Reverse Sorted,Medium burst
5641,27609,591,490,20297,Constant,Medium burst
9680,43917,178,1188,5695,Random,Medium burst
1465,23054,856,964,2006,Constant,Very short burst
8791,28176,179,2353,8114,Random,Short burst
9972,24304,774,4192,45012,Sorted,Long burst
8802,45940,355,3471,30795,Random,Long burst
7594,37423,508,2128,18527,Reverse Sorted,Medium burst
